word,meaning,type,priority,tianjin_hits,national_hits,source_note
care,"照料,保护;小心 v. 介意…,在乎;关心",exam,211,6,33,中考词表
careful,"小心,仔细,谨慎的",exam,212,0,13,中考词表
careless,"粗心的,漫不经心的",exam,213,1,2,中考词表
carrot,胡萝卜,exam,214,0,0,中考词表
carry,"拿,搬,带,提,抬,背,抱,运等",exam,215,0,11,中考词表
cat,"猫 catch(caught,",exam,216,0,3,中考词表
cause,"原因,起因 vt. 促使,引起,使发生",exam,217,2,6,中考词表
CD,光盘 (compact disk的缩写),exam,218,0,0,中考词表
ceiling,"天花板,顶棚",exam,219,0,0,中考词表
celebrate,庆祝,exam,220,0,10,中考词表
celebration,庆祝;庆祝会,exam,221,0,1,中考词表
cent,美分（100 cents = 1 dollar） centre (美,exam,222,0,0,中考词表
centre/center,"中心,中央",exam,223,0,0,中考词表
century,"世纪,百年",exam,224,0,5,中考词表
certain,"（未指明真实名称的）某…;确定的,无疑的;一定会…",exam,225,4,11,中考词表
certainly,"当然;一定,无疑",exam,226,0,9,中考词表
chair,椅子,exam,227,0,1,中考词表
chalk,粉笔,exam,228,0,0,中考词表
challenge,挑战(性),exam,229,0,6,中考词表
chance,"机会,可能性",exam,230,2,4,中考词表
change,"零钱;找头 v. 改变,变化;更换;兑换",exam,231,1,51,中考词表
channel,频道;通道;水渠,exam,232,0,0,中考词表
chart,图表;航海图,exam,233,0,1,中考词表
cheap,"便宜的,贱",exam,234,0,2,中考词表
check,"检查;批改 vt. 校对,核对;检查;批改",exam,235,4,13,中考词表
check-out,"结账台,收银台",exam,236,0,0,中考词表
cheese,奶酪,exam,237,0,1,中考词表
chemistry,化学,exam,238,1,1,中考词表
cheque,(美check) n. 支票,exam,239,0,0,中考词表
chess,"国际象棋,棋",exam,240,0,8,中考词表
chick,小鸡,exam,241,0,0,中考词表
chicken,鸡;鸡肉 child (复,exam,242,0,8,中考词表
chimney,"烟囱,烟筒",exam,243,0,0,中考词表
China,中国,exam,244,3,71,中考词表
Chinese,"中国的;中国人的;汉语的 n. 中国人;汉语,",exam,245,5,87,中考词表
chocolate,"巧克力 choose (chose,",exam,246,0,3,中考词表
Christmas,圣诞节,exam,247,0,14,中考词表
church,教堂;教会,exam,248,0,0,中考词表
cinema,电影院;电影,exam,249,3,0,中考词表
circle,"圆,环绕",exam,250,0,0,中考词表
city,"市,城市,都市",exam,251,4,48,中考词表
class,（学校的）班;年级;课,exam,252,6,32,中考词表
classmate,同班同学,exam,253,2,1,中考词表
classroom,教室,exam,254,1,6,中考词表
clean,"弄干净,擦干净 a. 清洁的,干净的",exam,255,7,20,中考词表
clear,清晰;明亮的;清楚的,exam,256,4,14,中考词表
clearly,"清楚地,无疑地",exam,257,0,3,中考词表
clever,"聪明的,伶俐的",exam,258,0,2,中考词表
climb,"爬,攀登",exam,259,2,3,中考词表
clock,钟,exam,260,3,2,中考词表
close,"亲密的;近,靠近 ad. 近,靠近 vt. 关,关闭",exam,261,3,20,中考词表
cloth,布,exam,262,3,16,中考词表
clothes,衣服;各种衣物,exam,263,1,18,中考词表
cloud,云;云状物;阴影,exam,264,0,2,中考词表
cloudy,"多云的,阴天的",exam,265,1,6,中考词表
club,俱乐部;纸牌中的梅花,exam,266,12,31,中考词表
coal,煤;煤块,exam,267,0,0,中考词表
coat,外套;涂层;表皮;皮毛,exam,268,2,6,中考词表
cock,公鸡,exam,269,0,0,中考词表
code,"密码,符号,准则",exam,270,0,0,中考词表
cocoa,可可粉,exam,271,0,0,中考词表
coffee,咖啡,exam,272,3,1,中考词表
coin,硬币,exam,273,0,2,中考词表
coke,可口可乐,exam,274,0,0,中考词表
cold,"冷的,寒的 n. 寒冷;感冒,伤风",exam,275,2,13,中考词表
collect,"收集,搜集",exam,276,1,6,中考词表
college,学院;专科学校 colour (美,exam,277,0,10,中考词表
comfort,安慰;慰问,exam,278,0,2,中考词表
comfortable,舒服的;安逸的;舒服自在的,exam,279,2,5,中考词表
common,"普通,一般;共有的",exam,280,0,11,中考词表
company,公司,exam,281,0,11,中考词表
competition,"比赛,竞赛",exam,282,0,18,中考词表
complain,"抱怨,投诉",exam,283,0,0,中考词表
composition,作文;作曲,exam,284,0,0,中考词表
computer,电子计算机,exam,285,0,10,中考词表
computer game,电子游戏,exam,286,0,0,中考词表
comrade,同志,exam,287,0,0,中考词表
concert,音乐会;演奏会,exam,288,0,7,中考词表
conductor,"指导者;（车上的）售票员,列车员;乐队指挥",exam,289,0,0,中考词表
confident,自信的,exam,290,5,4,中考词表
congratulate,祝贺,exam,291,0,0,中考词表
congratulation,"祝贺,庆贺",exam,292,0,0,中考词表
connect,"连接,把…联系起来",exam,293,0,2,中考词表
continue,继续,exam,294,0,9,中考词表
conversation,"谈话,交谈",exam,295,0,6,中考词表
cook,"炊事员,厨师 v. 烹调,做饭",exam,296,8,13,中考词表
cookie,小甜饼,exam,297,0,0,中考词表
cool,"凉的,凉爽的;酷",exam,298,1,12,中考词表
copy,"抄本,副本;一本（份,册…） v. 抄写,复印,拷贝",exam,299,0,1,中考词表
corn,"玉米,谷物",exam,300,0,0,中考词表
corner,角;角落;拐角,exam,301,0,2,中考词表
correct,"改正;纠正 a. 正确的,对的;恰当的 cost (cost,",exam,302,0,6,中考词表
cotton,棉花 a. 棉花的,exam,303,0,0,中考词表
cough,咳嗽,exam,304,1,0,中考词表
could,"（can的过去式）可以…;（表示许可或请求）可以…,行",exam,305,3,60,中考词表
count,"数,点数",exam,306,0,1,中考词表
country,"国家;农村,乡下",exam,307,0,16,中考词表
countryside,"乡下,农村",exam,308,0,6,中考词表
couple,"夫妇,一对",exam,309,0,2,中考词表
course,过程;经过;课程,exam,310,24,40,中考词表
cousin,"堂（表）兄弟,堂（表）姐妹",exam,311,1,1,中考词表
cover,"盖子;罩 v. 覆盖,遮盖;掩盖",exam,312,1,3,中考词表
cow,"母牛,奶牛",exam,313,0,7,中考词表
crash,"碰撞,撞击",exam,314,0,1,中考词表
cream,"奶油,乳脂",exam,315,5,1,中考词表
crop,庄稼;收成,exam,316,0,0,中考词表
cross,"脾气不好的,易怒的 n. 十字形的东西 vt. 越过;穿过",exam,317,0,3,中考词表
crossing,"十字路口,人行横道",exam,318,0,1,中考词表
crowd,"人群 vt. 拥挤,群聚",exam,319,0,5,中考词表
cry,叫喊;哭声 v. 喊叫;哭,exam,320,0,8,中考词表
culture,文化,exam,321,1,41,中考词表
cup,茶杯,exam,322,0,4,中考词表
cupboard,碗柜;橱柜,exam,323,0,0,中考词表
curtain,窗帘,exam,324,0,0,中考词表
cushion,垫子,exam,325,0,0,中考词表
